UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,CleanedTweet
1087,46039,Chelsea SW10,13-03-2020,"Why does every supermarket look like Tottenham Hotspurs trophy cabinet.... here all week, also if I stay at home due to #COVID_19 Ill be here longer https://t.co/HjaLUBFH0x",Positive,"['every', 'supermarket', 'look', 'like', 'tottenham', 'hotspur\x92s', 'trophy', 'cabinet', 'week', 'also', 'stay', 'home', 'due', 'covid19', 'i\x92ll', 'longer']"
1088,46040,"Herrin, IL",13-03-2020,The media in USA  need a stop with lies about #Covid_19  #CoronavirusPandemic  they within the next 24  hours half stores in USA will have no stock of food and water and supples tell sometime next week. Buch TV stations are reported this. Just stop it,Extremely Negative,"['media', 'usa', 'need', 'stop', 'lies', 'covid19', 'coronaviruspandemic', 'within', 'next', '24', 'hours', 'half', 'stores', 'usa', 'stock', 'food', 'water', 'supples', 'tell', 'sometime', 'next', 'week', 'buch', 'tv', 'stations', 'reported', 'stop']"
1089,46041,tema,13-03-2020,"Prices of hand sanitizers and nose mask has risen o ???
Now ebe ninja mask we go take go town ??

 #CoronaOutbreak #CoronaVirusUpdate #Covid_19 https://t.co/un4PAqviyg",Positive,"['prices', 'hand', 'sanitizers', 'nose', 'mask', 'risen', 'ebe', 'ninja', 'mask', 'go', 'take', 'go', 'town', 'coronaoutbreak', 'coronavirusupdate', 'covid19']"
1090,46042,,13-03-2020,@PatBloke Yep were avoiding going out cant risk #Covid_19 but experiencing a long wait for supermarket deliveries.  I realise that this places pressure on supermarkets but  @Ocado @sainsburys @Tesco more slots or drivers if possible would be much appr,Negative,"['patbloke', 'yep', 'we\x92re', 'avoiding', 'going', 'can\x92t', 'risk', 'covid19', 'experiencing', 'long', 'wait', 'supermarket', 'deliveries', 'realise', 'places', 'pressure', 'supermarkets', 'ocado', 'sainsburys', 'tesco', 'slots', 'drivers', 'possible', 'would', 'much', 'appr']"
1091,46043,"South Holland, The Netherlands",13-03-2020,"STOP attacking food store employees, it's NOT our fault yall are being selfish &amp; raiding food at the same time. We keep getting stock each day there's no need to raid but mostly STOP being fcking dcks to employees who can't do anything about this or ur behaviour!!! #coronavirus",Extremely Negative,"['stop', 'attacking', 'food', 'store', 'employees', 'fault', 'yall', 'selfish', 'amp', 'raiding', 'food', 'time', 'keep', 'getting', 'stock', 'day', 'theres', 'need', 'raid', 'mostly', 'stop', 'fcking', 'dcks', 'employees', 'cant', 'anything', 'ur', 'behaviour', 'coronavirus']"
1092,46044,,13-03-2020,Just spent 1 hour 2 check out of grocery store and all schools  closed in the county lots of businesses closed Thank U  #Covid_19,Positive,"['spent', '1', 'hour', '2', 'check', 'grocery', 'store', 'schools', 'closed', 'county', 'lots', 'businesses', 'closed', 'thank', 'u', 'covid19']"
1093,46045,,13-03-2020,"Forgot toilet papers, I have to go shopping for computers. Schools are closed and going online classes. Never thought this #coronavirus is that powerful.",Positive,"['forgot', 'toilet', 'papers', 'go', 'shopping', 'computers', 'schools', 'closed', 'going', 'online', 'classes', 'never', 'thought', 'coronavirus', 'powerful']"
1094,46046,"London, England",13-03-2020,"Before you go to supermarket and stockpile on things like pasta, rice, canned food etc because of #Covid_19 think about those who rely on #foodbanks for their main food source. #foodbanks already have limited supplies so please #donate #share #be_mindful ? https://t.co/lQE9wxbW6d",Positive,"['go', 'supermarket', 'stockpile', 'things', 'like', 'pasta', 'rice', 'canned', 'food', 'etc', 'covid19', 'think', 'rely', 'foodbanks', 'main', 'food', 'source', 'foodbanks', 'already', 'limited', 'supplies', 'please', 'donate', 'share', 'bemindful']"
1095,46047,"California, USA",13-03-2020,Local grocery store has no toilet paper due to #CoronaOutbreak #CoronavirusOutbreak #coronapocalypse #Covid_19 #panickbuying Please stop panic buying up all the toilet paper people. This isnt a world-end scenario! https://t.co/6EqS8ef1zm,Extremely Negative,"['local', 'grocery', 'store', 'toilet', 'paper', 'due', 'coronaoutbreak', 'coronavirusoutbreak', 'coronapocalypse', 'covid19', 'panickbuying', 'please', 'stop', 'panic', 'buying', 'toilet', 'paper', 'people', 'isn\x92t', 'worldend', 'scenario']"
1096,46048,London,13-03-2020,"This is what selfish greedy people's homes look like.
#Covid_19 #panicbuying 
Here is all the food you need but can't find anymore. https://t.co/praW6PDeHN",Negative,"['selfish', 'greedy', 'peoples', 'homes', 'look', 'like', 'covid19', 'panicbuying', 'food', 'need', 'cant', 'find', 'anymore']"
1097,46049,Amsterdam ,13-03-2020,"Okey, if you have hoarded at the supermarket so be it. But make sure you don't let it spoil!!
Springclean your cupboards.
Sort what you have by type and use-by date.
Use up older stocks first.
Prevent #foodwaste 
#Covid_19 #coronavirus",Positive,"['okey', 'hoarded', 'supermarket', 'make', 'sure', 'dont', 'let', 'spoil', 'springclean', 'cupboards', 'sort', 'type', 'useby', 'date', 'use', 'older', 'stocks', 'first', 'prevent', 'foodwaste', 'covid19', 'coronavirus']"
1098,46050,United States,13-03-2020,Why are old people... perusing through a grocery store... with no gloves on? And I look like a character off of Assassin's Creed. Make it make sense. #WeTrynnaSaveYall #COVID2019 https://t.co/b0jvSXF6P4,Positive,"['old', 'people', 'perusing', 'grocery', 'store', 'gloves', 'look', 'like', 'character', 'assassins', 'creed', 'make', 'make', 'sense', 'wetrynnasaveyall', 'covid2019']"
1099,46051,"Toronto, Ontario",13-03-2020,#panickbuying #Covid_19 for all those buying everything out to sell at inflated prices youre no hustler youre a piece of shit.,Extremely Negative,"['panickbuying', 'covid19', 'buying', 'everything', 'sell', 'inflated', 'prices', 'you\x92re', 'hustler', 'you\x92re', 'piece', 'shit']"
1100,46052,,13-03-2020,"Have you done with your supermarket issues? Buy whatever you want, then pardon me, I also would like to buy something if you let me. How many packages and why? When does this crazy behavior stop? 
#Norway #Oslo #COVID #coronavirusnorge #coronavirus #CoronaOutbreak #Covid_19",Neutral,"['done', 'supermarket', 'issues', 'buy', 'whatever', 'want', 'pardon', 'also', 'would', 'like', 'buy', 'something', 'let', 'many', 'packages', 'crazy', 'behavior', 'stop', 'norway', 'oslo', 'covid', 'coronavirusnorge', 'coronavirus', 'coronaoutbreak', 'covid19']"
1101,46053,United States,13-03-2020,This #Covid_19 is scary and confusing. Schools are closing in my area now. Grocery store shelves are empty. Not sure what I should do so just staying in and hoping I dont run out of #toiletpaper #CoronavirusPandemic,Extremely Negative,"['covid19', 'scary', 'confusing', 'schools', 'closing', 'area', 'grocery', 'store', 'shelves', 'empty', 'sure', 'staying', 'hoping', 'don\x92t', 'run', 'toiletpaper', 'coronaviruspandemic']"
1102,46054,,13-03-2020,2/ I couldn't even hold a basket in the grocery store without my arm muscles burning. I refused to cook for my family and kept my distance. I think #Covid_19 has been in the US for a long time disguised as the flu. What a well designed disease! #coronavirus,Negative,"['2', 'couldnt', 'even', 'hold', 'basket', 'grocery', 'store', 'without', 'arm', 'muscles', 'burning', 'refused', 'cook', 'family', 'kept', 'distance', 'think', 'covid19', 'us', 'long', 'time', 'disguised', 'flu', 'well', 'designed', 'disease', 'coronavirus']"
1103,46055,"Long Island, NY",13-03-2020,Every supermarket right now #CoronavirusPandemic #Covid_19 https://t.co/z9ILi3YyXP,Neutral,"['every', 'supermarket', 'right', 'coronaviruspandemic', 'covid19']"
1104,46056,"Noida, India",13-03-2020,"#Covid_19 is not only effected Human Lifes but also it's impact on global  #cryptomarket. The prices of #cryptocurrency is largely down.

#crytocurrency #Covid_19 #marketcrash",Neutral,"['covid19', 'effected', 'human', 'lifes', 'also', 'impact', 'global', 'cryptomarket', 'prices', 'cryptocurrency', 'largely', 'crytocurrency', 'covid19', 'marketcrash']"
1105,46057,"Cupertino, California",13-03-2020,"An #Apple retail employee who works at a location in Santa Monica, California has tested positive for COVID-19, Apple confirmed on Friday. https://t.co/uMw1d8Brhh https://t.co/KSdamvat6B",Positive,"['apple', 'retail', 'employee', 'works', 'location', 'santa', 'monica', 'california', 'tested', 'positive', 'covid19', 'apple', 'confirmed', 'friday']"
1106,46058,USA,13-03-2020,"Popping in from the abyss to say that working in a grocery store, especially as an online order person, is Hell right now.

People are panicking, rude, and someone coughed on the last toilet paper we had because he thought they were too expensive. I'm so, so tired 1/4 #Covid_19",Extremely Negative,"['popping', 'abyss', 'say', 'working', 'grocery', 'store', 'especially', 'online', 'order', 'person', 'hell', 'right', 'people', 'panicking', 'rude', 'someone', 'coughed', 'last', 'toilet', 'paper', 'thought', 'expensive', 'im', 'tired', '14', 'covid19']"
1107,46059,"Hammond, LA",13-03-2020,Me navigating through the grocery store not trying to get the #Covid_19! https://t.co/nZx5Rrc9g7,Neutral,"['navigating', 'grocery', 'store', 'trying', 'get', 'covid19']"
1108,46060,Planet Earth ?,13-03-2020,"@SadhguruJV Saar, @SriSri Sir @yogrishiramdev ji 
I am looking for some gyaan please. You guys have spoken on Economy, Value of Indian rupees Vs US Dollar, Petrol prices, Politics, Social issues. 
Anything on #CoronavirusPandemic
#CoronaOutbreak 
",Positive,"['sadhgurujv', 'saar', 'srisri', 'sir', 'yogrishiramdev', 'ji', 'looking', 'gyaan', 'please', 'guys', 'spoken', 'economy', 'value', 'indian', 'rupees', 'vs', 'us', 'dollar', 'petrol', 'prices', 'politics', 'social', 'issues', 'anything', 'coronaviruspandemic', 'coronaoutbreak']"
1109,46061,Disney Parks around the world,13-03-2020,Accidently ass-bumped someone in the supermarket. She thought it was a great corona alternative to shaking hands. Made me think of @ericstonestreet's Moon Landing in Modern Family #Covid_19 #Corona,Neutral,"['accidently', 'assbumped', 'someone', 'supermarket', 'thought', 'great', 'corona', 'alternative', 'shaking', 'hands', 'made', 'think', 'ericstonestreets', 'moon', 'landing', 'modern', 'family', 'covid19', 'corona']"
1110,46062,"Vermont, USA",13-03-2020,I went to the Grocery Store today to pick up a few things and I just have to ask. Why the hell is everyone freaking out over Toilet Paper ? ???? #ThursdayThoughts #Covid_19 #ToiletPaperApocalypse https://t.co/16PS4ZP3Qa,Extremely Negative,"['went', 'grocery', 'store', 'today', 'pick', 'things', 'ask', 'hell', 'everyone', 'freaking', 'toilet', 'paper', 'thursdaythoughts', 'covid19', 'toiletpaperapocalypse']"
1111,46063,The Future,13-03-2020,"Will online shopping become even more important to you, because of virus outbreaks like #Covid_19  #CoronavirusPandemic",Positive,"['online', 'shopping', 'become', 'even', 'important', 'virus', 'outbreaks', 'like', 'covid19', 'coronaviruspandemic']"
1112,46064,,13-03-2020,"@MandalaySamui The test for #COVID19 costs ~4000 -10'000 thb. MOPH #Thailand site said only 4 hospitals have #covid_19 testing capabilities but not these two. Shame on them, raising the prices up that high. #coronavirus #COVID19 #COVID2019 #Covid_19 #????",Positive,"['mandalaysamui', 'test', 'covid19', 'costs', '4000', '10000', 'thb', 'moph', 'thailand', 'site', 'said', '4', 'hospitals', 'covid19', 'testing', 'capabilities', 'two', 'shame', 'raising', 'prices', 'high', 'coronavirus', 'covid19', 'covid2019', 'covid19']"
1113,46065,Republic of the Philippines,13-03-2020,happening right now at our local supermarket. #Covid_19 https://t.co/1jFNxWVpLd,Neutral,"['happening', 'right', 'local', 'supermarket', 'covid19']"
1114,46066,"Paris, France",13-03-2020,"#Canada seems to react pretty well to #Covid_19 Massive discounts offered for soaps, liquid or solid.
I've seen it in my local supermarket and drugstore and it is really nice !",Extremely Positive,"['canada', 'seems', 'react', 'pretty', 'well', 'covid19', 'massive', 'discounts', 'offered', 'soaps', 'liquid', 'solid', 'ive', 'seen', 'local', 'supermarket', 'drugstore', 'really', 'nice']"
1115,46067,,13-03-2020,"Teachers, Loom is a great tool for recording and sharing videos with comments.

#teachers #education #Covid_19 

@useloom is there a way I can pay double per month while you're running these adjusted prices? Happy to if so.

https://t.co/gRUnBAboIO",Extremely Positive,"['teachers', 'loom', 'great', 'tool', 'recording', 'sharing', 'videos', 'comments', 'teachers', 'education', 'covid19', 'useloom', 'way', 'pay', 'double', 'per', 'month', 'youre', 'running', 'adjusted', 'prices', 'happy']"
1116,46068,"Eugene, OR",13-03-2020,"Well, everyone at the grocery store I work at is anticipating a shit storm because of all the news of COVID-19. Highlights of the morning banter include ""We are fucked"", ""shit's getting crazy"". More at 8.
#coronavirus #Covid_19",Extremely Negative,"['well', 'everyone', 'grocery', 'store', 'work', 'anticipating', 'shit', 'storm', 'news', 'covid19', 'highlights', 'morning', 'banter', 'include', 'fucked', 'shits', 'getting', 'crazy', '8', 'coronavirus', 'covid19']"
1117,46069,somewhere on the planet,13-03-2020,"The last time I saw a supermarket this empty was in #Gaza (and it wasnt because of the #Coronavirus) 

Maybe Americans will now be able to relate to what life under a blockade is like when you cant find some of the most basic necessities for you family https://t.co/rqoSXLIayG",Positive,"['last', 'time', 'saw', 'supermarket', 'empty', 'gaza', 'wasn\x92t', 'coronavirus', 'maybe', 'americans', 'able', 'relate', 'life', 'blockade', 'like', 'can\x92t', 'find', 'basic', 'necessities', 'family']"
1118,46070,South Carolina ? Alabama,13-03-2020,I really wanna get something out my doomsday food stash...but Im trying to save it ? #CoronavirusPandemic #Covid_19 #Panic,Positive,"['really', 'wan', 'na', 'get', 'something', 'doomsday', 'food', 'stashbut', 'i\x92m', 'trying', 'save', 'coronaviruspandemic', 'covid19', 'panic']"
1119,46071,,13-03-2020,"Meijer store in Michigan, stores are insane right now!! Good luck if you havent stocked up yet.. #coronavirus, #Covid_19 #grocery https://t.co/DdIqiZ6Ndt",Positive,"['meijer', 'store', 'michigan', 'stores', 'insane', 'right', 'good', 'luck', 'havent', 'stocked', 'yet', 'coronavirus', 'covid19', 'grocery']"
1120,46072,,13-03-2020,"You can watch my 11-minute video on ""Tiny Habits for Handwashing"" now.

You'll find other resources here as well. 

https://t.co/EV9I08uh3e https://t.co/ypXShweXwE",Positive,"['watch', '11minute', 'video', 'tiny', 'habits', 'handwashing', 'youll', 'find', 'resources', 'well']"
1121,46073,"Nairobi, Kenya",13-03-2020,"Commodity prices are about to shoot up!! All Public gatherings about to be cancelled. 

Lets brace our selves fot tough economic times ahead. 

#coronaviruskenya 
#CoronaVirusUpdate 
#Covid_19 https://t.co/QeDJNoanxO",Negative,"['commodity', 'prices', 'shoot', 'public', 'gatherings', 'cancelled', 'lets', 'brace', 'selves', 'fot', 'tough', 'economic', 'times', 'ahead', 'coronaviruskenya', 'coronavirusupdate', 'covid19']"
1122,46074,,13-03-2020,"went to the supermarket after a week locked in my apartment and what I see is kids playing in parks and people jogging... maybe it's not very clear... VE NE DOVETE STA A CASA, 'CCI VOSTRA
#Covid_19 #coronarvirusitalia",Negative,"['went', 'supermarket', 'week', 'locked', 'apartment', 'see', 'kids', 'playing', 'parks', 'people', 'jogging', 'maybe', 'clear', 'ne', 'dovete', 'sta', 'casa', 'cci', 'vostra', 'covid19', 'coronarvirusitalia']"
1123,46075,,13-03-2020,Photos of our local grocery store shelveswhere the packages of bottled water USED to be.Thank you #Covid_19 #CoronavirusPandemic lol!????#coronapocalypse ?@SaveMart https://t.co/bjffczXf4l,Extremely Positive,"['photos', 'local', 'grocery', 'store', 'shelves\x97where', 'packages', 'bottled', 'water', 'used', 'bethank', 'covid19', 'coronaviruspandemic', 'lolcoronapocalypse', 'savemart']"
1124,46076,Beirut,13-03-2020,"#Cryptocurrencies see $93.5 billion wiped off value in 24 hours as bitcoin plunges 48% 
#bakarainvest
#Covid_19 
#?????_??????
https://t.co/lXRz7SK7Zs",Positive,"['cryptocurrencies', 'see', '935', 'billion', 'wiped', 'value', '24', 'hours', 'bitcoin', 'plunges', '48', 'bakarainvest', 'covid19']"
1125,46077,,13-03-2020,"Tweet circulated last night about an elderly couple sitting outside a grocery store, too fearful of CV to go in. It is different &amp; far more risky over about 65. Ask someone like that if they need a grocery run, or help with a grocery pickup account 
#CoronaVirus #news",Neutral,"['tweet', 'circulated', 'last', 'night', 'elderly', 'couple', 'sitting', 'outside', 'grocery', 'store', 'fearful', 'cv', 'go', 'different', 'amp', 'far', 'risky', '65', 'ask', 'someone', 'like', 'need', 'grocery', 'run', 'help', 'grocery', 'pickup', 'account', 'coronavirus', 'news']"
1126,46078,"Ottawa, Canada",13-03-2020,Bank of Canada lowers overnight rate target to ¾ percent https://t.co/7kkT2GZYBt,Negative,"['bank', 'canada', 'lowers', 'overnight', 'rate', 'target', '¾', 'percent']"
1127,46079,"Malibu, CA",13-03-2020,"So started this weight loss challenge @ work...hwvr, w/every grocery store ransacked I dont think I'll have a problem losing weight. ? thanks #Covid_19  ?",Negative,"['started', 'weight', 'loss', 'challenge', 'workhwvr', 'wevery', 'grocery', 'store', 'ransacked', 'don\x92t', 'think', 'ill', 'problem', 'losing', 'weight', 'thanks', 'covid19']"
1128,46080,Myrtle Beach South Carolina,13-03-2020,Weve had questions recently from customers concerned with shopping in public. Beach Automotive would like to remind its customers that we have the ability to complete an entire purchase transaction online WITH home delivery available. #CoronaVirus #Covid19 #WeAreHereToHelp,Positive,"['we\x92ve', 'questions', 'recently', 'customers', 'concerned', 'shopping', 'public', 'beach', 'automotive', 'would', 'like', 'remind', 'customers', 'ability', 'complete', 'entire', 'purchase', 'transaction', 'online', 'home', 'delivery', 'available', 'coronavirus', 'covid19', 'weareheretohelp']"
1129,46081,natural de Granada??,13-03-2020,"I would like to express my sincere gratitude and full support at this moment of #coronapocolypse for the work of:
-healthcare professional, who is working tirelessly to stem the spread of #Covid_19 ?
-law enforcement agencies ?????
-supermarket &amp; pharmacy workers ?

(thread?)",Extremely Positive,"['would', 'like', 'express', 'sincere', 'gratitude', 'full', 'support', 'moment', 'coronapocolypse', 'work', 'healthcare', 'professional', 'working', 'tirelessly', 'stem', 'spread', 'covid19', 'law', 'enforcement', 'agencies', 'supermarket', 'amp', 'pharmacy', 'workers', 'thread']"
1130,46082,"Boston, MA",13-03-2020,"Please get to the stores today if you can. Water, toilet paper, meat and rice are pretty much gone and prices are rising on even the cheapest stuff. Stay safe everyone #Covid_19 #CoronaOutbreak #coronavirus #CoronaVirusUpdate https://t.co/FMiJ2hkw9F",Extremely Positive,"['please', 'get', 'stores', 'today', 'water', 'toilet', 'paper', 'meat', 'rice', 'pretty', 'much', 'gone', 'prices', 'rising', 'even', 'cheapest', 'stuff', 'stay', 'safe', 'everyone', 'covid19', 'coronaoutbreak', 'coronavirus', 'coronavirusupdate']"
1131,46083,"Lincoln, UK",13-03-2020,Much of the alcohol in my local supermarket is also now gone. Along with the meat. Which leads me to think that the British public is planning to combat #Covid_19 by having BBQs and getting pissed in their garden. #CoronaOutbreak,Extremely Negative,"['much', 'alcohol', 'local', 'supermarket', 'also', 'gone', 'along', 'meat', 'leads', 'think', 'british', 'public', 'planning', 'combat', 'covid19', 'bbqs', 'getting', 'pissed', 'garden', 'coronaoutbreak']"
1132,46084,,13-03-2020,"Another reminder that COVID-19 will hit indie bookstores, most of which have online shopping. And wonderful staff to help you pick something wonderful for those kids who may be staying home. Starting a Bay Area list in this thread. Please add more. Or start your own local list",Extremely Positive,"['another', 'reminder', 'covid19', 'hit', 'indie', 'bookstores', 'online', 'shopping', 'wonderful', 'staff', 'help', 'pick', 'something', 'wonderful', 'kids', 'may', 'staying', 'home', 'starting', 'bay', 'area', 'list', 'thread', 'please', 'add', 'start', 'local', 'list']"
1133,46085,,13-03-2020,@TheLastLeg #isitok that all this stock piling is causing the food industry great burden. As orders sky rocket!! They are struggling to cope with the demand on the ever decreasing workforce due to #Covid_19 #foodwaste,Negative,"['thelastleg', 'isitok', 'stock', 'piling', 'causing', 'food', 'industry', 'great', 'burden', 'orders', 'sky', 'rocket', 'struggling', 'cope', 'demand', 'ever', 'decreasing', 'workforce', 'due', 'covid19', 'foodwaste']"
1134,46086,"Lenape land, Newark, DE, USA",13-03-2020,"There was a trumpet player in the parking lot of the grocery store where I stopped today to get supplies for my parents and their neighbor. He was good, so I gave him a $20. #LittleThings #Covid_19 #BeKind",Positive,"['trumpet', 'player', 'parking', 'lot', 'grocery', 'store', 'stopped', 'today', 'get', 'supplies', 'parents', 'neighbor', 'good', 'gave', '20', 'littlethings', 'covid19', 'bekind']"
1135,46087,United States,13-03-2020,"#Coronavirus preparation: What to stock-up on

https://t.co/tWaTfk1Q4f",Neutral,"['coronavirus', 'preparation', 'stockup']"
1136,46088,"Graz, Austria",13-03-2020,"Five times as many people at my local supermarket than usual this time of week. All very peaceful though and no shortages in food or stuff.
#Covid_19",Positive,"['five', 'times', 'many', 'people', 'local', 'supermarket', 'usual', 'time', 'week', 'peaceful', 'though', 'shortages', 'food', 'stuff', 'covid19']"
1137,46089,,13-03-2020,When will it be necessary to stock up on non-perishables and start rationing food to eating one meal a day or eating every other day? #help #coronapocalypse #coronavirus #Covid_19 #rationing #food #shortage https://t.co/v0iXtkiodI,Neutral,"['necessary', 'stock', 'nonperishables', 'start', 'rationing', 'food', 'eating', 'one', 'meal', 'day', 'eating', 'every', 'day', 'help', 'coronapocalypse', 'coronavirus', 'covid19', 'rationing', 'food', 'shortage']"
1138,46090,"Portland, Oregon",13-03-2020,Check on elderly vulnerable neighbours  see if they need anything from the shop pharmacy  if they need a pet walking  if they are okay  if they have the ability access to order shopping online  show them they are not alone and people care about them ,Extremely Positive,"['check', 'elderly', 'vulnerable', 'neighbours', 'see', 'need', 'anything', 'shop', 'pharmacy', 'need', 'pet', 'walking', 'okay', 'ability', 'access', 'order', 'shopping', 'online', 'show', 'alone', 'people', 'care']"
1139,46091,UK,13-03-2020,"#CoronavirusPandemic has us  #RetailWorkers like this... today my store had no toilet roll at 8am all gone... good luck my fellow #Retail work, we are all going down! #coronavirus #FridayThe13th https://t.co/dkmkuaf2Cs",Extremely Positive,"['coronaviruspandemic', 'us', 'retailworkers', 'like', 'today', 'store', 'toilet', 'roll', '8am', 'gone', 'good', 'luck', 'fellow', 'retail', 'work', 'going', 'coronavirus', 'fridaythe13th']"
1140,46092,In service to others?San Diego,13-03-2020,"Panic begets panic. Let's be sure we check up on each other as well... after all, we are neighbors. #covid_19 #coronavirus #toiletpaper #food #panic #STAYSAFE https://t.co/cTsyy92R4V",Negative,"['panic', 'begets', 'panic', 'lets', 'sure', 'check', 'well', 'neighbors', 'covid19', 'coronavirus', 'toiletpaper', 'food', 'panic', 'staysafe']"
1141,46093,Ohio,13-03-2020,"After visiting the grocery store, Im convinced that all of the Extreme Couponers and Hoarders are sitting home laughing at us. #Covid_19",Extremely Positive,"['visiting', 'grocery', 'store', 'i\x92m', 'convinced', 'extreme', 'couponers', 'hoarders', 'sitting', 'home', 'laughing', 'us', 'covid19']"
1142,46094,"Atlanta, GA",13-03-2020,"#Covid_19 is in the way. HOWEVER, these flight prices are lovely!",Positive,"['covid19', 'way', 'however', 'flight', 'prices', 'lovely']"
1143,46095,"City of London, London",13-03-2020,To all the people clearing out the shelves in the supermarket I hope you can truly afford all that stuff you are buying ??. Be sensible and make sure your bank account can survive after #Covid_19 is over!,Extremely Positive,"['people', 'clearing', 'shelves', 'supermarket', 'hope', 'truly', 'afford', 'stuff', 'buying', 'sensible', 'make', 'sure', 'bank', 'account', 'survive', 'covid19']"
1144,46096,Here and there,13-03-2020,"I'm going grocery shopping tomorrow and then not leaving the house for weeks. I don't know how this all ends, and I refuse to panic, but I'm going to take it seriously. #Covid_19 Hopefully I can find toilet paper because everywhere is out. People selling it $30 a roll online. ?",Negative,"['im', 'going', 'grocery', 'shopping', 'tomorrow', 'leaving', 'house', 'weeks', 'dont', 'know', 'ends', 'refuse', 'panic', 'im', 'going', 'take', 'seriously', 'covid19', 'hopefully', 'find', 'toilet', 'paper', 'everywhere', 'people', 'selling', '30', 'roll', 'online']"
1145,46097,,13-03-2020,"""We are doing everything we can to support our customers,"" says our President of Health, Hygiene, &amp; Specialties, Curt Begle. Playing a ""pivotal role,"" we are meeting the current consumer demands for #coronavirus prevention. https://t.co/gVs567bHJk.   #COVID_19 #CoronaOutbreak",Positive,"['everything', 'support', 'customers', 'says', 'president', 'health', 'hygiene', 'amp', 'specialties', 'curt', 'begle', 'playing', 'pivotal', 'role', 'meeting', 'current', 'consumer', 'demands', 'coronavirus', 'prevention', 'covid19', 'coronaoutbreak']"
1146,46098,Midtown Toronto,13-03-2020,Seriously was not concerned until I went to the grocery store.....so much for staying calm. #CoronavirusPandemic #Covid_19 https://t.co/E38viDg7X0,Positive,"['seriously', 'concerned', 'went', 'grocery', 'storeso', 'much', 'staying', 'calm', 'coronaviruspandemic', 'covid19']"
1147,46099,The Queen of California,13-03-2020,"Let the records show that in spite of #coronavirus fears, I still enjoy picking out beautiful shoes online and putting them into my shopping cart and then not buying them.

????????",Positive,"['let', 'records', 'show', 'spite', 'coronavirus', 'fears', 'still', 'enjoy', 'picking', 'beautiful', 'shoes', 'online', 'putting', 'shopping', 'cart', 'buying']"
1148,46100,"Berlin, Germany",13-03-2020,"You know shits gone crazy and people are stocking up when you run out of potatoes in a supermarket. 

And you know Indians have joined the party when an indian store runs out of Maggi! 

#Covid_19",Negative,"['know', 'shits', 'gone', 'crazy', 'people', 'stocking', 'run', 'potatoes', 'supermarket', 'know', 'indians', 'joined', 'party', 'indian', 'store', 'runs', 'maggi', 'covid19']"
1149,46101,"Los Angeles, CA",13-03-2020,"I went to the grocery store, panicked and bought fresh watermelon. #Covid_19",Negative,"['went', 'grocery', 'store', 'panicked', 'bought', 'fresh', 'watermelon', 'covid19']"
1150,46102,Canada,13-03-2020,"At Big Rock Brewery our number one priority is the health, safety, and well-being of our employees and customers.   To contain the spread of COVID-19 we will temporarily suspend services in our #YYC taproom and retail store.  Thank you for your understanding. 1/2 https://t.co/qDQ8FXHKk1",Extremely Positive,"['big', 'rock', 'brewery', 'number', 'one', 'priority', 'health', 'safety', 'wellbeing', 'employees', 'customers', 'contain', 'spread', 'covid19', 'temporarily', 'suspend', 'services', 'yyc', 'taproom', 'retail', 'store', 'thank', 'understanding', '12']"
1151,46103,Kenya,13-03-2020,"Don't walk into a supermarket, buy over 100 rolls of tissue paper, 60 packets of maize flour, dozens of long life milk and all hand sanitizers. It's like it's you who only exist. Be considerate.
#coronavirusinKenya
#Covid_19",Extremely Positive,"['dont', 'walk', 'supermarket', 'buy', '100', 'rolls', 'tissue', 'paper', '60', 'packets', 'maize', 'flour', 'dozens', 'long', 'life', 'milk', 'hand', 'sanitizers', 'like', 'exist', 'considerate', 'coronavirusinkenya', 'covid19']"
1152,46104,"Los Angeles, CA",13-03-2020,"If youre at the store stocking up, say thank you to the cashier and the staff. They are under appreciated to begin with, and are still working while we panic so we can get our food. They also will be the ones to feel the pain of closures. #BeKind #coronavirus #Covid_19",Negative,"['you\x92re', 'store', 'stocking', 'say', 'thank', 'cashier', 'staff', 'appreciated', 'begin', 'still', 'working', 'panic', 'get', 'food', 'also', 'ones', 'feel', 'pain', 'closures', 'bekind', 'coronavirus', 'covid19']"
1153,46105,"St. John's, Newfoundland",13-03-2020,"Am I worried that there will be no toilet paper left when I get to the grocery store?

No, because as long as the kid keeps delivering flyers to the door, I'll be OK! #Covid_19",Negative,"['worried', 'toilet', 'paper', 'left', 'get', 'grocery', 'store', 'long', 'kid', 'keeps', 'delivering', 'flyers', 'door', 'ill', 'ok', 'covid19']"
1154,46106,"Miami, FL",13-03-2020,"Covid-19 will lead people to buy more things online, leading to a rapid adoption to online shopping that will probably be permanent. Learning #digitalmarketing skills will become even more essential. 

Here's an interesting article on the subject: https://t.co/v6tbe3aY7o",Positive,"['covid19', 'lead', 'people', 'buy', 'things', 'online', 'leading', 'rapid', 'adoption', 'online', 'shopping', 'probably', 'permanent', 'learning', 'digitalmarketing', 'skills', 'become', 'even', 'essential', 'heres', 'interesting', 'article', 'subject']"
